C <00:22:20> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:22:21> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:22:30> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:22:31> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:22:40> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:22:41> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:22:50> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:22:51> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:23:00> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:23:01> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:23:10> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:26:18> pResult->Query.select.pResult == NULL
C <00:34:13> pResult->Query.select.pResult == NULL
C <00:35:42> pResult->Query.select.pResult == NULL
B <00:39:57> Portal info is not found at CmdUserAcceptFailedForPortal
G <00:40:34> UpdateUserDB Name : zzz-minjin-zzz, Level : 1, Exp : 80000000
G <00:40:34> UpdateUserDB Name : yyy-minjin-yyy, Level : 1, Exp : 80000000
C <00:44:48> pResult->Query.select.pResult == NULL
C <00:45:15> pResult->Query.select.pResult == NULL
G <00:45:24> UpdateUserDB Name : zzz-minjin-zzz, Level : 1, Exp : 80000000
G <00:45:24> UpdateUserDB Name : yyy-minjin-yyy, Level : 1, Exp : 80000000
C <02:00:28> ########### CorumZero Online - Village Server Started! ###########
C <02:02:13> pResult->Query.select.pResult == NULL
C <02:02:43> pResult->Query.select.pResult == NULL
C <02:08:47> <bInvItemCheck>New Item ID Change!! CharName:[xxx-minjin-xxx]
C <02:08:47> pResult->Query.select.pResult == NULL
C <02:09:15> pResult->Query.select.pResult == NULL
A <02:11:15> World Server Disconnected! Server Will Terminate...
C <02:11:25> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:11:26> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:11:35> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:11:36> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:11:45> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:11:46> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:11:55> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:11:56> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:12:05> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:12:06> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:12:15> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:12:16> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:12:25> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:12:26> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:12:35> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:12:36> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:12:45> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:12:47> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:12:55> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:12:56> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:13:05> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:13:06> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:13:15> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:13:16> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:13:25> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:13:26> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:13:35> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:13:37> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:13:45> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
