### Packet Size Reporting Start!!! ###

### Login Agent to Client ### 
[ SIZE :     8 ] DSTWS_REFRESH_ACCEXP_ACQUISITION
[ SIZE :     5 ] DSTWS_REFRESH_DEFENSECOUNT
[ SIZE :     8 ] DSTWS_REFRESH_ENTRANCE_EDIT
[ SIZE :     6 ] DSTWS_REFRESH_PRODUCT_ACQUISITION
[ SIZE :     7 ] DSTWS_SERVER_ATTACH
[ SIZE :    10 ] DSTWS_USER_ACCEPT_ALLOWED
[ SIZE :    10 ] DSTWS_USER_ACCEPT_FAILED

@@ Max Packet is DSTWS_DUNGEON_OWNER_CHANGE [52]


### Dungeon Server to World Server - Dungeon Server ### 
[ SIZE :    25 ] DSWDS_REQUEST_USER_ACCEPT_FOR_PORTAL
[ SIZE :    23 ] DSWDS_USER_ACCEPT_ALLOWED_FOR_PORTAL
[ SIZE :     9 ] DSWDS_USER_ACCEPT_FAILED_FOR_PORTAL
[ SIZE :     7 ] DSWST_CREATEPRODUCTION

@@ Max Packet is DSWDS_REQUEST_USER_ACCEPT_FOR_PORTAL [25]


### World Server to Login Agent ### 
[ SIZE :    10 ] WSTAS_REQUEST_CHINA_BILLING
[ SIZE :    10 ] WSTAS_REQUEST_CHINA_BILLINGINFO
[ SIZE :    18 ] WSTAS_SERVER_ALIVE_INFO
[ SIZE :     6 ] WSTAS_SERVER_ATTACH
[ SIZE :     6 ] WSTAS_USER_ACCEPT_ALLOWED
[ SIZE :     7 ] WSTAS_USER_ACCEPT_FAILED
[ SIZE :    10 ] WSTAS_USER_WORLD_LOGIN_SUCCESS
[ SIZE :     6 ] WSTAS_WORLD_USER_DISCONNECT

@@ Max Packet is WSTAS_SERVER_ALIVE_INFO [18]


### World Server to Client ### 
[ SIZE :    24 ] WSTC_BILLING_INFO
[ SIZE :   258 ] WSTC_BLOCK_ACCOUNT
[ SIZE :     3 ] WSTC_CB_MESSAGE
[ SIZE :   283 ] WSTC_CHAT_COMMAND
[ SIZE :   299 ] WSTC_CHAT_RQ
[ SIZE :   303 ] WSTC_CHAT_USER
[ SIZE :   282 ] WSTC_CHAT_WHISPER
[ SIZE :     3 ] WSTC_CHINA_BILL_KICK_CODE
[ SIZE :     7 ] WSTC_CHINA_BILL_REMAIN_TIME
[ SIZE :     6 ] WSTC_COMMAND_MSG
[ SIZE :    14 ] WSTC_CONNECT_DUNGEON_SERVER
[ SIZE :     6 ] WSTC_CREATE_CHARACTER_FAIL
[ SIZE :    22 ] WSTC_CREATE_CHARACTER_SUCCESS
[ SIZE :     7 ] WSTC_DELETE_CHARACTER_RESULT
[ SIZE :   304 ] WSTC_DGCHAT_USER
[ SIZE :   110 ] WSTC_DGGUILD_USER
[ SIZE :    57 ] WSTC_DGGUILD_USERINFO
[ SIZE :   283 ] WSTC_DSCHAT_WHISPER
[ SIZE :    30 ] WSTC_DSF_CHAT
[ SIZE :   538 ] WSTC_DS_CHAT
[ SIZE :     5 ] WSTC_DUNGEON_JOIN_FAILED
[ SIZE :    12 ] WSTC_ENCRYPTION_KEY
[ SIZE :     3 ] WSTC_EVENT_DUNGEON_ENTER_FAILED
[ SIZE :    49 ] WSTC_EVENT_DUNGEON_INFO
[ SIZE :    13 ] WSTC_EVENT_DUNGEON_STATE_INFO
[ SIZE :    29 ] WSTC_FRIENDUSER_INFO
[ SIZE :     2 ] WSTC_GM_COMMAND_RESULT
[ SIZE :     2 ] WSTC_GM_LOGIN_SUCCESS
[ SIZE :     3 ] WSTC_GO_TO_WORLD_FAIL
[ SIZE :    47 ] WSTC_GUILDJOIN_MESSAGE
[ SIZE :    29 ] WSTC_GUILDUSER_INFO
[ SIZE :    10 ] WSTC_GUILDUSER_LEVEL
[ SIZE :    23 ] WSTC_GUILDWAR_ERRROR
[ SIZE :    11 ] WSTC_GUILDWAR_EXIT
[ SIZE :    34 ] WSTC_GUILDWAR_JOIN
[ SIZE :    66 ] WSTC_GUILDWAR_MESSAGE
[ SIZE :    11 ] WSTC_GUILDWAR_POINT
[ SIZE :   118 ] WSTC_GUILDWAR_RANK
[ SIZE :    54 ] WSTC_GUILDWAR_REQUEST
[ SIZE :     7 ] WSTC_GUILD_COUNT
[ SIZE :     7 ] WSTC_GUILD_CREATE
[ SIZE :    26 ] WSTC_GUILD_DATA_REQUEST
[ SIZE :     7 ] WSTC_GUILD_DELETE
[ SIZE :     3 ] WSTC_GUILD_ERROR
[ SIZE :    14 ] WSTC_GUILD_EXP
[ SIZE :    49 ] WSTC_GUILD_INFO
[ SIZE :    28 ] WSTC_GUILD_JOININFO
[ SIZE :    31 ] WSTC_GUILD_JOINRESULT
[ SIZE :    14 ] WSTC_GUILD_LEVEL
[ SIZE :    38 ] WSTC_GUILD_LIST
[ SIZE :    53 ] WSTC_GUILD_OFFLINEUSER
[ SIZE :     6 ] WSTC_GUILD_OFFLINEUSER_DELETE
[ SIZE :    36 ] WSTC_GUILD_PORTAL
[ SIZE :    23 ] WSTC_GUILD_PORTALFAIL
[ SIZE :    37 ] WSTC_GUILD_PORTALUSED
[ SIZE :     7 ] WSTC_GUILD_RANK
[ SIZE :    42 ] WSTC_GUILD_REQUEST
[ SIZE :   123 ] WSTC_GUILD_USER
[ SIZE :    58 ] WSTC_GUILD_USERINFO
[ SIZE :    26 ] WSTC_GUILD_USERINFODEL
[ SIZE :     3 ] WSTC_GUILD_USERREQUEST_FAIL
[ SIZE :     5 ] WSTC_HELP_INFO
[ SIZE :     2 ] WSTC_INVALID_GM
